time_sec,x,y,z,yaw
639.684,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
639.705,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
639.726,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
639.747,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
639.768,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
639.789,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
639.81,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
639.831,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
639.852,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
639.873,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
639.894,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
639.915,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
639.936,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
639.957,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
639.978,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
639.999,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
640.02,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
640.041,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
640.062,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
640.083,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
640.104,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
640.125,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
640.146,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
640.167,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
640.188,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
640.209,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
640.23,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
640.251,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
640.272,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
640.293,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
640.314,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
640.335,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
640.356,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
640.377,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
640.398,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
640.419,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
640.44,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
640.461,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
640.482,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
640.503,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
640.524,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
640.545,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
640.566,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
640.587,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
640.608,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
640.629,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
640.65,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
640.671,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
640.692,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
640.713,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
640.734,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
640.755,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
640.776,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
640.797,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
640.818,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
640.839,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
640.86,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
640.881,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
640.902,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
640.923,3.553977035319359,-4.653786321021864,0.0,-1.235414525576311
